邮件种类,承运人名称,Barcode,CN38时间,接收扫描时间,启运地点,启运时间,中转到达地点,中转到达时间,中转启运时间,到达地点,目的地到达时间,目的地交邮时间,收费路由,航班,重量,费率,金额,币种,账务时期,账单编号,备注,运能编码,箱板类型,集装器号（板号）
EA,天泽物流,CNCANDUSJFKFAUX51691002000071,20250403,20250403,HKG,20250403,,,,JFK,20250404,20250405,HKG-(RUH)-JFK,SV985-023,7.100,45.00,319.50,RMB,202504,,,6102019,D,
EA,天泽物流,CNCANDUSJFKFAUX51691004000128,20250403,20250403,HKG,20250403,,,,JFK,20250404,20250405,HKG-(RUH)-JFK,SV985-023,12.800,45.00,576.00,RMB,202504,,,6102019,D,
EA,天泽物流,CNCANDUSJFKFAUX51691008000125,20250403,20250403,HKG,20250403,,,,JFK,20250404,20250405,HKG-(RUH)-JFK,SV985-023,12.500,45.00,562.50,RMB,202504,,,6102019,D,
EA,天泽物流,CNCANDUSJFKFAUX51700005000111,20250403,20250403,HKG,20250403,,,,JFK,20250404,20250405,HKG-(RUH)-JFK,SV985-023,11.100,45.00,499.50,RMB,202504,,,6102019,D,
EA,天泽物流,CNCANDUSJFKFAUX51700011000203,20250403,20250403,HKG,20250403,,,,JFK,20250404,20250405,HKG-(RUH)-JFK,SV985-023,20.300,45.00,913.50,RMB,202504,,,6102019,D,
EA,天泽物流,CNCANDUSJFKFAUX51700020000121,20250403,20250403,HKG,20250403,,,,JFK,20250404,20250405,HKG-(RUH)-JFK,SV985-023,12.100,45.00,544.50,RMB,202504,,,6102019,D,
EA,天泽物流,CNCANDUSJFKFAUX51689001000148,20250403,20250403,HKG,20250403,,,,JFK,20250404,20250405,HKG-(RUH)-JFK,SV985-023,14.800,45.00,666.00,RMB,202504,,,6102019,D,
EA,天泽物流,CNCANDUSJFKFAUX51691007000142,20250403,20250403,HKG,20250403,,,,JFK,20250404,20250405,HKG-(RUH)-JFK,SV985-023,14.200,45.00,639.00,RMB,202504,,,6102019,D,
EA,天泽物流,CNCANDUSJFKFAUX51692001100010,20250403,20250403,HKG,20250403,,,,JFK,20250404,20250405,HKG-(RUH)-JFK,SV985-023,1.000,45.00,45.00,RMB,202504,,,6102019,D,
EA,天泽物流,CNCANDUSJFKFAUX51696005000186,20250403,20250403,HKG,20250403,,,,JFK,20250404,20250405,HKG-(RUH)-JFK,SV985-023,18.600,45.00,837.00,RMB,202504,,,6102019,D,
EA,天泽物流,CNCANDUSJFKFAUX51704001100171,20250403,20250403,HKG,20250403,,,,JFK,20250404,20250405,HKG-(RUH)-JFK,SV985-023,17.100,45.00,769.50,RMB,202504,,,6102019,D,
EA,天泽物流,CNCANDUSJFKFAUX51691003000152,20250403,20250403,HKG,20250403,,,,JFK,20250404,20250405,HKG-(RUH)-JFK,SV985-023,15.200,45.00,684.00,RMB,202504,,,6102019,D,
EA,天泽物流,CNCANDUSJFKFAUX51691009100032,20250403,20250403,HKG,20250403,,,,JFK,20250404,20250405,HKG-(RUH)-JFK,SV985-023,3.200,45.00,144.00,RMB,202504,,,6102019,D,
EA,天泽物流,CNCANDUSJFKFAUX51696006000145,20250403,20250403,HKG,20250403,,,,JFK,20250404,20250405,HKG-(RUH)-JFK,SV985-023,14.500,45.00,652.50,RMB,202504,,,6102019,D,
EA,天泽物流,CNCANDUSJFKFAUX51700019000149,20250403,20250403,HKG,20250403,,,,JFK,20250404,20250405,HKG-(RUH)-JFK,SV985-023,14.900,45.00,670.50,RMB,202504,,,6102019,D,
EA,天泽物流,CNCANDUSJFKFAUX51691001000113,20250403,20250403,HKG,20250403,,,,JFK,20250404,20250405,HKG-(RUH)-JFK,SV985-023,11.300,45.00,508.50,RMB,202504,,,6102019,D,
