邮件种类,承运人名称,Barcode,CN38时间,接收扫描时间,启运地点,启运时间,中转到达地点,中转到达时间,中转启运时间,到达地点,目的地到达时间,目的地交邮时间,收费路由,航班,重量,费率,金额,币种,账务时期,账单编号,备注,运能编码,箱板类型,集装器号（板号）
EA,天泽物流,CNDGGDJPKWSAAUY50492001100232,20250401,20250401,HKG,20250405,,,,NRT,20250405,20250405,HKG-(TPE)-NRT,ZK001CI920-JX804,23.200,18.00,417.60,RMB,202504,,,6102029,D,
EA,天泽物流,CNDGGDJPKWSAAUY50493003000225,20250401,20250401,HKG,20250405,,,,NRT,20250405,20250405,HKG-(TPE)-NRT,ZK001CI920-JX804,22.500,18.00,405.00,RMB,202504,,,6102029,D,
EA,天泽物流,CNDGGDJPKWSAAUY50493005000254,20250401,20250401,HKG,20250405,,,,NRT,20250405,20250405,HKG-(TPE)-NRT,ZK001CI920-JX804,25.400,18.00,457.20,RMB,202504,,,6102029,D,
EA,天泽物流,CNDGGDJPKWSAAUY50494001000247,20250401,20250401,HKG,20250405,,,,NRT,20250405,20250405,HKG-(TPE)-NRT,ZK001CI920-JX804,24.700,18.00,444.60,RMB,202504,,,6102029,D,
EA,天泽物流,CNDGGDUSJFKFAUX50562001100019,20250401,20250401,HKG,20250405,,,,JFK,20250407,20250407,HKG-(TPE)-JFK,ZK001CI920-CI012,1.900,60.00,114.00,RMB,202504,,,6102042,D,
EA,天泽物流,CNDGGDUSJFKFAUX50566001000234,20250401,20250401,HKG,20250405,,,,JFK,20250407,20250407,HKG-(TPE)-JFK,ZK001CI920-CI012,23.400,60.00,1404.00,RMB,202504,,,6102042,D,
EA,天泽物流,CNCANDAUMELAAUX55773001000210,20250401,20250401,HKG,20250401,,,,MEL,20250404,20250404,HKG-(TPE)-MEL,ZK001CI920-CI057,21.000,41.00,861.00,RMB,202504,,,6102024,D,
EA,天泽物流,CNCANDAUMELAAUX55773002100089,20250401,20250401,HKG,20250401,,,,MEL,20250404,20250404,HKG-(TPE)-MEL,ZK001CI920-CI057,8.900,41.00,364.90,RMB,202504,,,6102024,D,
EA,天泽物流,CNCANDAUSYDAAUX56079001000251,20250401,20250401,HKG,20250401,,,,SYD,20250405,20250405,HKG-(TPE)-SYD,ZK001CI920-CI051,25.100,41.00,1029.10,RMB,202504,,,6102037,D,
EA,天泽物流,CNCANDAUSYDAAUX56079002000249,20250401,20250401,HKG,20250401,,,,SYD,20250405,20250405,HKG-(TPE)-SYD,ZK001CI920-CI051,24.900,41.00,1020.90,RMB,202504,,,6102037,D,
EA,天泽物流,CNCANDAUSYDAAUX56079003000206,20250401,20250401,HKG,20250401,,,,SYD,20250405,20250405,HKG-(TPE)-SYD,ZK001CI920-CI051,20.600,41.00,844.60,RMB,202504,,,6102037,D,
