供应商代码（三位缩写）,中文名称,邮件种类,原寄局,寄达局,适用合同,结算方式,板号,账务时期,运能编码,收费路由,航班,来账重量,费率,金额,邮方确认重量,邮方确认费率,邮方确认金额
CP001,天泽物流,EA,CNDGGD,JPKIXA,,单价,,202508,6102020,HKG-(TPE)-KIX,ZK001CI920-JX820,10202.6,18.0,183646.8,,,
CP001,天泽物流,EA,CNDGGD,JPKWSA,,单价,,202508,6102029,HKG-(TPE)-NRT,ZK001CI920-JX804,16735.4,18.0,301237.2,,,
CP001,天泽物流,LA,CNSZXA,AUSYDA,,单价,,202508,6102037,HKG-(TPE)-SYD,ZK001CI920-CI051,223.1,41.0,9147.1,,,
CP001,天泽物流,LA,CNSZXA,JPKWSA,,单价,,202508,6102029,HKG-(TPE)-NRT,ZK001CI920-JX804,991.2,18.0,17841.6,,,
CP001,天泽物流,EA,CNSZXD,AUSYDA,,单价,,202508,6102037,HKG-(TPE)-SYD,ZK001CI920-CI051,2804.8,41.0,114996.8,,,
CP001,天泽物流,EA,CNSZXD,JPKIXA,,单价,,202508,6102020,HKG-(TPE)-KIX,ZK001CI920-JX820,1155.7,18.0,20802.6,,,
CP001,天泽物流,EA,CNSZXD,JPKWSA,,单价,,202508,6102029,HKG-(TPE)-NRT,ZK001CI920-JX804,2268.4,18.0,40831.2,,,
CP001,天泽物流,EA,CNSZXD,JPTYOA,,单价,,202508,6102029,HKG-(TPE)-NRT,ZK001CI920-JX804,114.9,18.0,2068.2,,,
CP001,天泽物流,LA,CNCANA,AUMELA,,单价,,202508,6102024,HKG-(TPE)-MEL,ZK001CI920-CI057,29.7,41.0,1217.7,,,
CP001,天泽物流,LA,CNCANA,FRROIC,,单价,,202508,6102041,HKG-(TPE)-CDG,ZK001CI920-BR087,13.6,55.0,748.0,,,
CP001,天泽物流,LA,CNCANA,GBLALA,,单价,,202508,6102044,HKG-(KUL)-LHR,ZK001AK139-MH004,0.3,54.0,16.2,,,
CP001,天泽物流,LA,CNCANA,NLHAGI,,单价,,202508,6102007,HKG-(TPE)-AMS,ZK001CI920-CI073,14.3,62.0,886.6,,,
CP001,天泽物流,EA,CNCAND,AUMELA,,单价,,202508,6102024,HKG-(TPE)-MEL,ZK001CI920-CI057,170.4,41.0,6986.4,,,
CP001,天泽物流,EA,CNCAND,AUMELB,,单价,,202508,6102024,HKG-(TPE)-MEL,ZK001CI920-CI057,246.9,41.0,10122.9,,,
CP001,天泽物流,EA,CNCAND,BRCWBA,,单价,,202508,6102016,HKG-(IST)-GRU,ZK001TK071-TK015,897.2,84.0,75364.8,,,
CP001,天泽物流,EA,CNCAND,CAYVRB,,单价,,202508,6102045,HKG-(TPE)-YVR,ZK001CI920-CI032,968.3,75.0,72622.5,,,
CP001,天泽物流,EA,CNCAND,DEFRAA,,单价,,202508,6102015,HKG-(TPE)-FRA,ZK001CI920-CI061,584.1,60.0,35046.0,,,
CP001,天泽物流,EA,CNCAND,FRROIC,,单价,,202508,6102041,HKG-(TPE)-CDG,ZK001CI920-BR087,419.8,55.0,23089.0,,,
CP001,天泽物流,EA,CNCAND,GBCVTA,,单价,,202508,6102044,HKG-(KUL)-LHR,ZK001AK139-MH004,106.6,54.0,5756.4,,,
CP001,天泽物流,EA,CNCAND,ITMILR,,单价,,202508,5904109,HKG-(DXB)-MXP,ZK001EK381-EK091,592.7,60.0,35562.0,,,
CP001,天泽物流,EA,CNCAND,KRSELB,,单价,,202508,6102018,HKG-(TPE)-ICN,ZK001CI920-7C2602,1708.8,18.0,30758.4,,,
CP001,天泽物流,EA,CNCAND,MXMEXD,,单价,,202508,6102025,HKG-(KUL)-(LHR)-MEX,ZK001AK139-MH004-AM008,3020.8,84.0,253747.2,,,
CP001,天泽物流,EA,CNCAND,MXMEXE,,单价,,202508,6102025,HKG-(KUL)-(LHR)-MEX,ZK001AK139-MH004-AM008,295.6,84.0,24830.4,,,
CP001,天泽物流,EA,CNCAND,NLHAGI,,单价,,202508,6102007,HKG-(TPE)-AMS,ZK001CI920-CI073,169.1,62.0,10484.2,,,
CP001,天泽物流,EA,CNCAND,NZAKLA,,单价,,202508,6102005,HKG-(TPE)-AKL,ZK001CI920-NZ078,1645.4,48.0,78979.2,,,
CP001,天泽物流,EA,CNCAND,RUMOWS,,单价,,202508,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,1842.5,63.0,116077.5,,,
CP001,天泽物流,EA,CNCAND,RUMOWT,,单价,,202508,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,67.2,63.0,4233.6,,,
CP001,天泽物流,LA,CNDGGA,DEFRAA,,单价,,202508,6102015,HKG-(TPE)-FRA,ZK001CI920-CI061,6.9,60.0,414.0,,,
CP001,天泽物流,LA,CNDGGA,FRROIC,,单价,,202508,6102041,HKG-(TPE)-CDG,ZK001CI920-BR087,22.3,55.0,1226.5,,,
CP001,天泽物流,LA,CNDGGA,GBLALA,,单价,,202508,6102044,HKG-(KUL)-LHR,ZK001AK139-MH004,45.4,54.0,2451.6,,,
CP001,天泽物流,LA,CNDGGA,ITMXPB,,单价,,202508,5904109,HKG-(DXB)-MXP,ZK001EK381-EK091,15.0,60.0,900.0,,,
CP001,天泽物流,LA,CNDGGA,NZAKLA,,单价,,202508,6102005,HKG-(TPE)-AKL,ZK001CI920-NZ078,7.8,48.0,374.4,,,
CP001,天泽物流,EA,CNDGGD,AUMELA,,单价,,202508,6102024,HKG-(TPE)-MEL,ZK001CI920-CI057,585.8,41.0,24017.8,,,
CP001,天泽物流,EA,CNDGGD,CAYVRB,,单价,,202508,6102045,HKG-(TPE)-YVR,ZK001CI920-CI032,1594.7,75.0,119602.5,,,
CP001,天泽物流,EA,CNDGGD,DEFRAA,,单价,,202508,6102015,HKG-(TPE)-FRA,ZK001CI920-CI061,103.0,60.0,6180.0,,,
CP001,天泽物流,EA,CNDGGD,FRROIC,,单价,,202508,6102041,HKG-(TPE)-CDG,ZK001CI920-BR087,52.7,55.0,2898.5,,,
CP001,天泽物流,EA,CNDGGD,GBLALA,,单价,,202508,6102044,HKG-(KUL)-LHR,ZK001AK139-MH004,103.2,54.0,5572.8,,,
CP001,天泽物流,EA,CNDGGD,ITMILR,,单价,,202508,5904109,HKG-(DXB)-MXP,ZK001EK381-EK091,52.8,60.0,3168.0,,,
CP001,天泽物流,EA,CNDGGD,NZAKLA,,单价,,202508,6102005,HKG-(TPE)-AKL,ZK001CI920-NZ078,434.3,48.0,20846.4,,,
CP001,天泽物流,EA,CNDGGD,RUMOWS,,单价,,202508,6102035,HKG-(HKT)-SVO,ZK001HX741-SU275,62.8,63.0,3956.4,,,
CP001,天泽物流,LA,CNCANA,AUSYDA,,单价,,202508,6102037,HKG-(TPE)-SYD,ZK001CI920-CI051,84.8,41.0,3476.8,,,
CP001,天泽物流,LA,CNCANA,JPKWSA,,单价,,202508,6102029,HKG-(TPE)-NRT,ZK001CI920-JX804,26.3,18.0,473.4,,,
